Edição;Carimbo de data/hora;ID;Gênero;Qual a sua escola / faculdade / instituto?;Qual o seu curso / programa de pós?;Em que ano você está?;Você já participou de quantos hackathons?;Quais as suas especialidades?;Você já tem equipe formada?;Time;Selecionado
2018.2;18/10/2018 22:15:26;97;F;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Marketing;2° ano;0;Negócios;Não;0;1
2018.2;18/10/2018 22:21:07;98;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;3° ano;0;Cientista de Dados;Sim;18;1
2018.2;18/10/2018 22:25:12;99;M;Escola Politécnica (Poli);Engenharia da Computação;3° ano;2;Desenvolvedor;Sim;0;0
2018.2;18/10/2018 22:28:11;100;M;Escola Politécnica (Poli);Engenharia de Minas;2° ano;0;Nenhuma;Sim;0;1
2018.2;18/10/2018 22:47:41;101;F;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;1° ano;0;Desenvolvedor, Designer;Não;0;1
2018.2;18/10/2018 22:54:36;102;M;Escola de Engenharia de São Carlos (EESC);Engenharia da Computação;2° ano;2;Desenvolvedor, Designer;Sim;0;0
2018.2;18/10/2018 23:28:54;103;F;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;3° ano;0;Desenvolvedor;Sim;20;1
2018.2;18/10/2018 23:31:02;104;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Ciência da Computação;3° ano;0;Desenvolvedor;Sim;20;1
2018.2;18/10/2018 23:38:59;105;F;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Sistemas de Informação;1° ano;0;Designer;Sim;20;1
2018.2;18/10/2018 23:45:58;106;F;Instituto de Física (IF);Bacharelado em Física;1° ano;0;Negócios;Não;0;1
2018.2;18/10/2018 23:55:33;107;M;Instituto de Física (IF);Bacharelado em Física;2° ano;1;Cientista de Dados, Finanças;Não;0;0
2018.2;19/10/2018 09:10:00;108;F;Faculdade de Ciências Farmacêuticas (FCF);Farmácia-Bioquímica;5° ano ou mais;0;Negócios;Não;0;1
2018.2;19/10/2018 13:01:53;109;M;Escola Politécnica (Poli);Engenharia Mecânica;2° ano;0;Desenvolvedor, Designer;Não;0;0
2018.2;19/10/2018 16:08:38;110;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;1° ano;0;Desenvolvedor;Sim;0;0
2018.2;19/10/2018 16:17:35;111;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Matemática Aplicada;2° ano;0;Desenvolvedor;Não;0;0
2018.2;19/10/2018 17:36:37;112;M;Escola Politécnica (Poli);Engenharia Mecânica;5° ano ou mais;0;Cientista de Dados;Não;0;0
2018.2;19/10/2018 17:41:18;113;M;Instituto de Astronomia, Geofísica e Ciências Atmosféricas (IAG);Bacharelado em Astronomia;5° ano ou mais;0;Cientista de Dados;Sim;25;1
2018.2;19/10/2018 20:33:59;114;F;Escola de Comunicações e Artes (ECA);Publicidade e Propaganda;4° ano;0;Negócios;Não;0;1
2018.2;19/10/2018 21:34:53;115;M;Instituto de Física (IF);Bacharelado em Física;4° ano;2;Cientista de Dados;Não;0;0
2018.2;19/10/2018 23:11:44;116;M;Instituto de Astronomia, Geofísica e Ciências Atmosféricas (IAG);Ciências Atmosféricas;1° ano;0;Desenvolvedor;Não;0;0
2018.2;20/10/2018 08:28:11;117;M;Escola Politécnica (Poli);Engenharia Elétrica;5° ano ou mais;1;Cientista de Dados;Sim;0;0
2018.2;20/10/2018 09:59:19;118;F;Instituto de Astronomia, Geofísica e Ciências Atmosféricas (IAG);Bacharelado em Astronomia;5° ano ou mais;0;Cientista de Dados;Sim;25;1
2018.2;20/10/2018 11:03:45;119;M;Escola Politécnica (Poli);Engenharia Civil;5° ano ou mais;0;Cientista de Dados, Finanças;Não;0;0
2018.2;20/10/2018 11:42:09;120;M;Escola de Comunicações e Artes (ECA);Publicidade e Propaganda;1° ano;0;Designer;Não;0;0
2018.2;20/10/2018 14:07:32;121;M;Escola Politécnica (Poli);Engenharia Elétrica;5° ano ou mais;0;Cientista de Dados;Sim;0;0
2018.2;20/10/2018 14:09:09;122;M;Escola Politécnica (Poli);Engenharia Elétrica;5° ano ou mais;2;Desenvolvedor;Não;0;0
2018.2;20/10/2018 15:41:54;123;M;Escola de Engenharia de São Carlos (EESC);Engenharia Elétrica;5° ano ou mais;0;Desenvolvedor;Não;0;0
2018.2;20/10/2018 17:17:13;124;M;Escola de Engenharia de São Carlos (EESC);Engenharia Mecânica;5° ano ou mais;0;Finanças;Não;0;0
2018.2;20/10/2018 18:19:37;125;F;Escola Politécnica (Poli);Engenharia Química;4° ano;0;Cientista de Dados;Não;0;1
2018.2;20/10/2018 21:04:13;126;M;Escola Politécnica (Poli);Engenharia Elétrica;1° ano;1;Cientista de Dados;Não;0;0
2018.2;20/10/2018 21:36:30;127;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Matemática Aplicada;3° ano;0;Desenvolvedor;Não;0;0
2018.2;20/10/2018 22:21:16;128;M;Escola Politécnica (Poli);Engenharia Elétrica;2° ano;0;Finanças;Não;0;0
2018.2;21/10/2018 01:00:37;129;M;Faculdade de Direito (FD);Direito;5° ano ou mais;2;Cientista de Dados;Não;0;0
2018.2;21/10/2018 11:34:41;130;M;Escola Politécnica (Poli);Engenharia Elétrica;1° ano;0;Cientista de Dados;Sim;0;0
2018.2;21/10/2018 11:44:03;131;M;Escola Politécnica (Poli);Engenharia Elétrica;1° ano;0;Designer, Negócios;Sim;0;0
2018.2;21/10/2018 11:45:37;132;M;Escola Politécnica (Poli);Engenharia Elétrica;1° ano;0;Desenvolvedor;Sim;0;0
2018.2;21/10/2018 11:59:53;133;M;Escola Politécnica (Poli);Engenharia Elétrica;1° ano;0;Desenvolvedor;Sim;0;0
2018.2;21/10/2018 12:09:52;134;M;Escola Politécnica (Poli);Engenharia Naval;5° ano ou mais;0;Cientista de Dados;Não;0;0
2018.2;21/10/2018 14:32:14;135;M;Escola Politécnica (Poli);Engenharia Elétrica;1° ano;2;Desenvolvedor, Designer;Sim;24;1
2018.2;21/10/2018 14:46:19;136;F;Escola Politécnica (Poli);Engenharia da Computação;1° ano;1;Desenvolvedor;Sim;24;1
2018.2;21/10/2018 14:48:28;137;M;Escola Politécnica (Poli);Engenharia Elétrica;1° ano;1;Desenvolvedor;Sim;24;1
2018.2;21/10/2018 20:35:33;138;M;Faculdade de Economia, Administração e Contabilidade (FEA);Bacharelado em Administração;2° ano;0;Finanças;Não;0;0
2018.2;21/10/2018 22:27:05;139;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;4° ano;2;Desenvolvedor;Sim;0;0
2018.2;22/10/2018 09:36:18;140;M;Instituto de Geociências (IGc);Geologia;1° ano;0;Desenvolvedor;Não;0;0
2018.2;22/10/2018 10:59:17;141;F;Instituto de Astronomia, Geofísica e Ciências Atmosféricas (IAG);Bacharelado em Astronomia;4° ano;0;Cientista de Dados;Sim;25;1
2018.2;22/10/2018 11:23:28;142;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;1° ano;0;Desenvolvedor, Designer;Não;0;0
2018.2;22/10/2018 15:17:03;143;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;2° ano;1;Desenvolvedor, Designer;Não;0;0
2018.2;22/10/2018 22:22:09;144;F;Escola Politécnica (Poli);Engenharia Química;4° ano;1;Finanças;Sim;0;0
2018.2;22/10/2018 22:51:38;145;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Mestrado em Estatística;Mestrado;0;Cientista de Dados;Não;0;1
2018.2;23/10/2018 11:17:47;146;M;Escola de Engenharia de Lorena (EEL);Engenharia Química;2° ano;1;Negócios;Não;0;0
2018.2;23/10/2018 15:53:40;147;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;1° ano;0;Finanças;Sim;0;0
2018.2;23/10/2018 16:10:13;148;F;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2° ano;0;Finanças;Sim;0;1
2018.2;24/10/2018 18:35:59;149;F;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Sistemas de Informação;4° ano;2;Designer;Não;0;1
2018.2;24/10/2018 22:24:47;150;M;Instituto de Biociências (IB);Mestrado Ecologia;1° ano;1;Cientista;Sim;0;0
2018.2;24/10/2018 22:27:58;151;M;Instituto de Física (IF);Curso de Ciências Moleculares;5° ano ou mais;1;Negócios;Sim;0;0
2018.2;24/10/2018 22:28:39;152;M;Instituto de Física (IF);Curso de Ciências Moleculares;2° ano;0;Desenvolvedor;Sim;0;0
2018.2;24/10/2018 22:31:41;153;M;Escola Politécnica (Poli);Curso de Ciências Moleculares;4° ano;1;Cientista;Sim;0;0
2018.2;24/10/2018 22:42:46;154;M;Escola Politécnica (Poli);Curso de Ciências Moleculares;2° ano;1;Cientista de Dados;Não;0;0
2018.2;09/11/2018 14:05:58;155;F;Instituto de Ciências Matemáticas e de Computação (ICMC);Ciência de dados;Mestrado Profissional;2;Cientista de Dados;Sim;0;1
2018.2;09/11/2018 15:54:47;156;M;Escola Politécnica (Poli);Engenharia da Computação;Mestrado;2;Cientista de Dados;Não;0;1
