Datetime,id,IsSelected,Gender,College,StudentProgram,GraduationYear,NHackathon,Role,HasTeam,TeamMembers,TeamId,University,TeamSize
24/07/2016 21:14:21,275,N,M,Poli,Engenharia Elétrica,2,0,Desenvolvedor,Sim,"275, 432",40,,2
24/07/2016 21:14:59,71,N,M,Não USP,,,1,Empreendedor/Negócios,Não,,0,,1
24/07/2016 21:15:09,30,N,M,Não USP,,,1,Desenvolvedor,Não,,0,UFSCar,1
24/07/2016 21:15:18,527,N,M,Não USP,,,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:15:32,43,N,M,IME,Bacharelado em Ciência da Computação,3,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:15:56,415,N,M,Não USP,,,0,Empreendedor/Negócios,Não,,0,Insper,1
24/07/2016 21:16:15,238,N,M,Poli,Engenharia da Computação,3,0,Desenvolvedor,Não,"170, 238, 384, 391",21,,4
24/07/2016 21:16:15,393,N,M,IME,Pós-graduação em Ciência da Computação,Pós-graduação,0,Desenvolvedor,Sim,"21, 215, 231, 393",25,,4
24/07/2016 21:16:15,529,N,M,Poli,Pós-graduação em Engenharia Mecatrônica,Pós-graduação,0,Empreendedor/Negócios,Não,,0,,1
24/07/2016 21:16:25,59,N,M,CCM,Curso de Ciências Moleculares,2,0,Desenvolvedor,Sim,"59, 400, 404, 534",57,,4
24/07/2016 21:16:26,363,N,M,Não USP,,,2,Empreendedor/Negócios,Não,,0,UFSCar,1
24/07/2016 21:16:33,335,S,F,Não USP,,,0,Designer,Não,,0,FAM,1
24/07/2016 21:16:56,254,N,M,Poli,Engenharia Elétrica,3,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:16:56,294,N,F,Não USP,,,0,Desenvolvedor,Não,,0,IFSP,1
24/07/2016 21:17:01,141,N,F,FAU,Arquitetura e Urbanismo,5,0,Designer,Sim,"29, 141, 543, 548",42,,4
24/07/2016 21:17:09,504,S,M,Poli,Engenharia da Computação,5,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:17:12,484,S,F,ECA,Publicidade e Propaganda,4,0,Designer,Não,"36, 185, 282, 484",50,,4
24/07/2016 21:17:49,277,N,M,Poli,Engenharia da Computação,5,0,Desenvolvedor,Sim,"102, 277, 427",3,,3
24/07/2016 21:17:50,229,N,M,ICMC,Bacharelado em Ciência da Computação,4,1,Desenvolvedor,Não,,0,,1
24/07/2016 21:19:21,165,N,M,Não USP,,,0,Designer,Não,,0,FIT - Faculdade Impacta de Tecnologia,1
24/07/2016 21:19:58,502,N,M,Poli,Engenharia Elétrica,1,0,Engenharia,Não,,0,,1
24/07/2016 21:20:41,169,N,M,Não USP,,,0,Desenvolvedor,Não,,0,UNIMEP,1
24/07/2016 21:21:03,451,N,M,Poli,Engenharia Química,5,0,Desenvolvedor,Sim,,0,,1
24/07/2016 21:21:09,499,N,F,Não USP,,,0,Desenvolvedor,Não,,0,Unib,1
24/07/2016 21:21:18,164,N,M,Não USP,,,0,Desenvolvedor,Não,,0,UNICAMP,1
24/07/2016 21:21:23,70,N,M,EESC,Engenharia da Computação,4,2,Desenvolvedor,Não,"70, 433, 496",60,,3
24/07/2016 21:21:36,361,N,M,Não USP,,,1,Desenvolvedor,Não,,0,UFSCar,1
24/07/2016 21:21:48,158,N,M,Não USP,,,0,Desenvolvedor,Não,,0,UFABC,1
24/07/2016 21:22:03,424,N,M,Não USP,,,0,Empreendedor/Negócios,Não,,0,Universidade Presbiteriana Mackenzie,1
24/07/2016 21:22:06,352,N,M,Poli,Engenharia da Computação,4,1,Desenvolvedor,Sim,"104, 218, 317, 352",4,,4
24/07/2016 21:22:53,138,N,M,Poli,Engenharia Elétrica,3,1,Desenvolvedor,Sim,"138, 151, 175",13,,3
24/07/2016 21:23:19,94,N,M,Não USP,,,1,Desenvolvedor,Não,,0,Uninove,1
24/07/2016 21:23:50,19,N,M,IME,Matemática (Licenciatura),3,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:24:06,433,N,M,Poli,Engenharia e Gestão de Novos Produtos e Serviços ,1,1,Designer,Sim,"70, 433, 496",60,,3
24/07/2016 21:24:43,48,S,F,FAU,Arquitetura e Urbanismo,5,0,Designer,Sim,"26, 48, 343, 422",37,,4
24/07/2016 21:25:30,383,N,M,EESC,Engenharia de Materiais,5,0,Empreendedor/Negócios,Não,,0,,1
24/07/2016 21:25:33,430,N,M,ICMC,Bacharelado em Ciência da Computação,5,2,Desenvolvedor,Sim,"344, 430",48,,2
24/07/2016 21:25:52,271,N,M,EACH,Bacharelado em Sistemas de Informação,1,0,Desenvolvedor,Não,"24, 248, 257, 271, 327, 389",34,,6
24/07/2016 21:26:05,213,N,M,ICMC,Bacharelado em Ciência da Computação,1,0,Desenvolvedor,Sim,"213, 381, 505, 524",29,,4
24/07/2016 21:26:46,95,N,M,Não USP,,,5,Desenvolvedor,Não,,0,,1
24/07/2016 21:26:46,322,N,M,IME,Bacharelado em Ciência da Computação,3,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:27:39,520,N,M,Poli,Engenharia Elétrica,4,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:28:10,82,N,F,EACH,Gestão Ambiental,2,0,Engenharia,Não,,0,,1
24/07/2016 21:28:50,423,N,M,Não USP,,,0,Empreendedor/Negócios,Não,,0,Uninove,1
24/07/2016 21:28:57,257,N,M,EACH,Bacharelado em Sistemas de Informação,1,0,Desenvolvedor,Sim,"24, 248, 257, 271, 327, 389",34,,6
24/07/2016 21:29:06,426,N,M,Não USP,,,0,Desenvolvedor,Não,,0,Centro Universitario Senac,1
24/07/2016 21:29:32,353,N,F,EACH,Bacharelado em Marketing,1,0,Empreendedor/Negócios,Não,"202, 351, 353, 480",24,,4
24/07/2016 21:30:22,386,S,M,EACH,Bacharelado em Sistemas de Informação,4,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:31:08,535,N,M,Poli,Engenharia Mecatrônica,1,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:31:36,489,N,F,ECA,Publicidade e Propaganda,2,0,Designer,Não,,0,,1
24/07/2016 21:31:56,18,S,F,Poli,Engenharia Elétrica,1,0,Empreendedor/Negócios,Sim,"18, 250, 313, 340",23,,4
24/07/2016 21:32:52,463,N,M,EACH,Bacharelado em Sistemas de Informação,1,0,Designer,Sim,"182, 216, 463",24,,3
24/07/2016 21:32:58,350,N,F,Poli,Engenharia Mecatrônica,1,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:33:11,1,S,M,Poli,Engenharia da Computação,5,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:33:14,493,N,M,Poli,Engenharia de Minas,3,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:33:16,157,N,M,Não USP,,,0,Desenvolvedor,Não,,0,IMES,1
24/07/2016 21:33:44,131,S,M,ICMC,Bacharelado em Sistemas de Informação,5,0,Desenvolvedor,Sim,"131, 237, 306",10,,3
24/07/2016 21:34:03,86,N,F,EESC,Engenharia Mecânica,5,0,Empreendedor/Negócios,Não,,0,,1
24/07/2016 21:34:20,267,N,M,Não USP,,,2,Desenvolvedor,Não,,0,SESI/SENAI RJ,1
24/07/2016 21:34:45,320,N,M,EACH,Bacharelado em Sistemas de Informação,3,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:35:03,291,N,F,Não USP,,,1,Empreendedor/Negócios,Não,,0,Instituto Mauá de Tecnologia ,1
24/07/2016 21:36:00,258,N,M,Não USP,,,0,Desenvolvedor,Não,,0,FIT - Faculdade Impacta de Tecnologia,1
24/07/2016 21:36:11,85,N,M,Não USP,,,2,Empreendedor/Negócios,Não,,0,ESPM,1
24/07/2016 21:36:26,412,N,M,EESC,Engenharia Mecatrônica,5,1,Desenvolvedor,Não,,0,,1
24/07/2016 21:36:35,144,N,F,Não USP,,,1,Empreendedor/Negócios,Não,,0,UFSCar,1
24/07/2016 21:37:42,231,N,M,IME,Pós-graduação em Ciência da Computação,Pós-graduação,0,Desenvolvedor,Sim,"21, 215, 231, 393",25,,4
24/07/2016 21:38:06,49,N,F,Poli,Engenharia da Computação,3,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:39:01,405,N,M,Poli,Engenharia da Computação,1,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:39:06,37,N,F,Não USP,,,0,Empreendedor/Negócios,Não,,0,Anhanguera ,1
24/07/2016 21:40:27,266,N,M,Não USP,,,0,Desenvolvedor,Não,,0,UFSCar,1
24/07/2016 21:40:47,124,N,M,Não USP,,,0,Designer,Não,,0,Universidade Anhembi Morumbi,1
24/07/2016 21:42:02,539,N,F,Poli,Engenharia Elétrica,Pós-graduação,0,Desenvolvedor,Sim,"224, 539",30,,2
24/07/2016 21:42:08,12,N,M,Não USP,,,1,Desenvolvedor,Não,,0,UniNorte,1
24/07/2016 21:42:34,218,N,M,Poli,Engenharia da Computação,4,2,Empreendedor/Negócios,Sim,"104, 218, 317, 352",4,,4
