Datetime,Edition,id,IsSelected,Gender,College,StudentProgram,GraduationYear,NHackathon,Role,HasTeam,TeamMembers,TeamId,TeamSize
18/10/2017 21:16:31,2017.2,151,S,M,FEA-RP,Economia Empresarial e Controladoria,1,0,Negócios,Sim,"77, 151",29,2
18/10/2017 21:28:20,2017.2,30,S,F,FEA-RP,Economia Empresarial e Controladoria ,1,0,Negócios,Não,,0,1
19/10/2017 07:44:23,2017.2,56,S,M,FEA-RP,Economia Empresarial e Controladoria,2,2,Negócios,Não,,0,1
19/10/2017 09:48:44,2017.2,129,S,M,FEA-RP,Economia Empresarial e Controladoria,2,1,Negócios,Não,,0,1
19/10/2017 14:41:05,2017.2,124,S,M,FFCLRP,Informática Biomédica,3,0,Desenvolvedor,Não,"55, 124",25,2
19/10/2017 22:42:26,2017.2,103,S,F,FFCLRP,Informática Biomédica,4,0,Desenvolvedor,Não,,0,1
18/10/2017 21:11:21,2017.2,147,S,F,FFLCH,Letras,5,0,Negócios,Não,,0,1
18/10/2017 21:37:51,2017.2,152,S,M,ICMC,Bacharelado em Ciência da Computação,4,0,Desenvolvedor,Não,,0,1
18/10/2017 21:00:19,2017.2,16,S,F,IME,Bacharelado em Matemática ,3,0,Nenhuma,Sim,"16, 84",7,2
18/10/2017 21:00:31,2017.2,105,S,M,IME,Bacharelado em Ciência da Computação,3,2,Desenvolvedor,Sim,"105, 160, 161",4,3
18/10/2017 21:00:41,2017.2,125,S,M,IME,Bacharelado em Ciência da Computação,2,1,Desenvolvedor,Sim,"81, 125",30,2
18/10/2017 21:02:07,2017.2,7,S,M,IME,Bacharelado em Ciência da Computação,2,1,Desenvolvedor,Sim,,0,1
18/10/2017 21:05:42,2017.2,31,S,M,IME,Bacharelado em Ciência da Computação,4,0,Desenvolvedor,Não,,0,1
18/10/2017 21:06:26,2017.2,25,S,M,IME,Mestrado em Ciência da Computação,1,0,Desenvolvedor,Não,,0,1
18/10/2017 21:07:18,2017.2,13,S,M,IME,Bacharelado em Matemática Aplicada,1,0,Designer,Não,,0,1
18/10/2017 21:08:25,2017.2,108,S,F,IME,Mestrado em Ciência da Computação,Pós-graduação,0,Desenvolvedor,Sim,"60, 68, 108, 110",26,4
18/10/2017 21:08:57,2017.2,160,S,M,IME,Bacharelado em Ciência da Computação,3,1,Desenvolvedor,Sim,"105, 160, 161",4,3
18/10/2017 21:08:58,2017.2,51,S,M,IME,Mestrado em Ciência da Computação,Pós-graduação,0,Desenvolvedor,Não,,0,1
